,elements_num,reading_score,Gunning Fog Index,table_present
100517,303,0.035,17.87,0
101199,190,0.0654627539503386,22.67,0
101778,112,0.05446293494704992,18.23,0
102212,304,0.02406417112299465,24.76,0
104889,83,0.07169117647058823,23.09,0
104894,145,0.05032822757111598,22.04,0
105319,124,0.05907172995780591,17.27,0
105770,329,0.02624936900555275,16.4,0
106535,295,0.02716763005780347,27.44,0
107263,267,0.026171637248934874,22.16,0
12208,162,0.035860655737704916,37.33,0
14272,430,0.022011385199240986,21.8,0
15615,182,0.03917910447761194,73.52,0
1800,304,0.037544696066746125,16.61,0
18230,163,0.04826254826254826,27.03,0
18349,480,0.021129326047358836,20.75,0
18926,197,0.036585365853658534,21.43,0
19411,43,0.14655172413793102,17.65,0
200406,158,0.04004329004329004,21.46,0
20212,173,0.03208556149732621,23.5,0
21344,369,0.025689819219790674,21.06,0
21535,96,0.05087719298245614,24.13,0
216085,98,0.0616822429906542,11.13,0
216228,197,0.03386960203217612,17.95,0
21665,380,0.025355871886120998,18.36,0
217346,163,0.03588290840415486,21.26,0
225648,405,0.027260926006057985,25.17,0
230557,230,0.03709428129829984,84.15,0
24090,71,0.07090464547677261,18.54,0
24491,288,0.029308323563892145,24.74,0
2488,149,0.05555555555555555,15.13,0
25475,178,0.03761467889908257,18.52,0
26172,197,0.039383561643835614,16.78,0
26324,108,0.05636070853462158,18.22,0
26780,126,0.05013550135501355,18.48,0
277135,233,0.0351008215085885,18.59,0
277509,271,0.031776913099870296,22.86,0
27996,272,0.034143138542350626,17.19,0
28412,160,0.07627118644067797,24.03,0
28823,171,0.03940886699507389,17.17,0
29669,225,0.037065052950075644,47.92,0
30697,317,0.0313588850174216,108.53,0
310158,390,0.03142709943328181,22.33,0
310522,303,0.024691358024691357,21.44,0
313616,232,0.04503105590062112,82.01,0
313927,167,0.04895833333333333,18.46,0
317540,142,0.04184549356223176,17.2,0
31791,159,0.05150214592274678,17.87,0
318154,449,0.023952095808383235,22.74,0
318833,240,0.040889526542324243,27.1,0
320335,388,0.031104921077065924,31.47,0
34067,74,0.057692307692307696,35.43,0
3453,173,0.042897998093422304,39.89,0
34903,43,0.13636363636363635,26.54,0
350894,245,0.032454361054766734,18.09,0
351569,293,0.03256364712847839,105.72,0
352541,114,0.05794947994056464,44.91,0
352825,100,0.04769475357710652,20.11,0
353020,200,0.032072368421052634,20.08,0
354707,51,0.10869565217391304,24.67,0
35527,23,0.17006802721088435,16.0,0
3570,164,0.03940886699507389,66.86,0
357301,192,0.04963898916967509,24.83,0
36047,93,0.08148148148148149,37.97,0
36270,237,0.03880597014925373,19.03,0
36377,140,0.05366492146596859,18.0,0
37785,329,0.03192046049188906,15.55,0
37808,146,0.036488027366020526,57.76,0
37996,356,0.03058103975535168,126.18,0
39899,484,0.018880647336480108,27.29,0
40211,81,0.06967213114754098,19.62,0
40729,109,0.04585798816568047,18.76,0
40888,127,0.05782792665726375,15.66,0
40987,273,0.026741293532338308,23.5,0
4281,253,0.03354838709677419,20.96,0
4447,309,0.03126656067832538,42.88,0
46080,254,0.04062038404726736,27.81,0
46129,123,0.038314176245210725,21.91,0
46195,88,0.09791666666666667,35.78,0
47111,195,0.05287569573283859,16.35,0
48039,165,0.035381750465549346,22.95,0
4904,222,0.046974522292993634,83.05,0
49071,155,0.0336734693877551,22.84,0
49196,346,0.025690741638390694,129.1,0
49826,131,0.050666666666666665,18.58,0
50863,333,0.023952095808383235,19.18,0
51434,186,0.04963235294117647,27.21,0
52827,146,0.053128689492325853,19.84,0
54381,211,0.0327613104524181,22.76,0
55067,349,0.02904356534802203,30.02,0
5513,196,0.041108132260947276,75.85,0
56047,53,0.0967741935483871,29.86,0
58492,348,0.02305327868852459,20.86,0
59255,104,0.051070840197693576,19.75,0
59478,69,0.08226221079691516,13.93,0
59527,113,0.06936416184971098,29.26,0
59558,77,0.062111801242236024,36.87,0
60977,33,0.13106796116504854,22.67,0
6176,48,0.09717868338557993,18.8,0
61986,148,0.05,17.02,0
62709,156,0.04143947655398037,16.19,0
62996,192,0.03646308113035551,20.23,0
63276,254,0.03475409836065574,36.66,0
63908,373,0.02125734961555857,33.38,0
64040,276,0.02826217678893566,25.2,0
64803,362,0.030632411067193676,17.48,0
65984,18,0.36046511627906974,15.31,0
66570,245,0.04008293020041465,88.27,0
66756,142,0.04920049200492005,17.34,0
67716,328,0.020418084589207585,25.92,0
69488,80,0.05702647657841141,19.58,0
700564,60,0.07455012853470437,13.66,0
701288,232,0.03399209486166008,14.77,0
701374,213,0.03304484657749803,44.77,0
702165,184,0.030809859154929578,72.25,0
702513,74,0.0773067331670823,16.64,0
70415,121,0.06025824964131994,28.52,0
704415,134,0.045828437132784956,33.71,0
7084,363,0.028433734939759037,120.51,1
70858,397,0.024379625598606878,16.59,0
708821,122,0.04234972677595628,22.4,0
708955,148,0.049162011173184354,33.1,0
712034,215,0.03954372623574144,16.26,0
712534,113,0.06666666666666667,49.11,0
713676,112,0.08391608391608392,14.25,0
714310,73,0.0987012987012987,18.54,0
71691,320,0.029242819843342035,45.18,0
717423,541,0.022296173044925125,24.63,0
718877,290,0.03411131059245961,21.53,0
72162,107,0.05128205128205128,20.07,0
72741,332,0.022571148184494603,46.25,0
72971,256,0.03815261044176707,17.44,0
73088,285,0.02459508098380324,16.38,0
73124,238,0.04926108374384237,20.61,0
74208,192,0.05919661733615222,25.04,0
7431,188,0.040952380952380955,19.67,0
77360,333,0.033062330623306234,20.3,0
78003,156,0.0410958904109589,32.93,0
78128,210,0.034280936454849496,18.58,0
78814,139,0.03538812785388128,22.0,0
79282,465,0.015267175572519083,27.97,0
8063,77,0.06465517241379311,16.64,0
80661,247,0.0348122866894198,19.09,0
84246,69,0.06542056074766354,20.85,0
84748,54,0.07932011331444759,19.61,0
86312,407,0.021810699588477367,18.65,0
8818,95,0.07078039927404718,14.18,0
89800,100,0.05565217391304348,20.24,0
9092,35,0.14084507042253522,22.72,0
91767,379,0.029509757258448358,17.75,0
92230,263,0.0390625,21.92,1
92380,215,0.04022526146419952,25.91,0
9326,110,0.06398809523809523,48.28,0
93410,172,0.03119584055459272,21.97,0
9346,97,0.06320907617504051,44.75,0
93556,242,0.04290909090909091,18.24,0
9389,375,0.02797558494404883,21.73,0
97134,109,0.05676126878130217,48.35,0
97216,82,0.05991735537190083,36.85,0
97745,422,0.02165196471531676,17.68,0
98222,270,0.022329511164755584,22.65,0
